failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift
0.9570552147239264,0.0,0.3697492968427698,0.013787554347188832,0.015479753718886291,0.012031897499052717,0.953125,tensor(5.7772)
0.9602272727272727,0.9728571428571429,0.38115879753869103,0.009905319274099407,0.012129421585752214,0.007874617163459888,0.9607843137254902,tensor(5.0137)
0.976878612716763,0.9764285714285714,0.3693101636531061,0.008966658690875873,0.006798140078332705,0.011110251802125439,0.8726591760299626,tensor(4.7406)
0.9497206703910615,0.9714285714285714,0.38321332926391893,0.008794009800923522,0.010477086486091776,0.006890530216507045,0.9455252918287937,tensor(4.2975)
0.9344262295081968,0.9689285714285715,0.3706119876939187,0.00620282232111486,0.008848605675507392,0.003585797481443985,0.9305019305019305,tensor(4.5935)
0.9453551912568307,0.9654285714285715,0.36390420510908655,0.007422804808345236,0.007456517266962003,0.00739088556561234,0.9841269841269841,tensor(3.5139)
0.9634146341463414,0.9488095238095238,0.3688623242822074,0.006656035810218035,0.004444025364541015,0.00909491912211834,0.8382352941176471,tensor(4.0117)
0.9447513812154696,0.9580952380952379,0.36172483817164797,0.006468986537612042,0.006606816856186794,0.006313319354280558,0.9157088122605364,tensor(3.3499)
0.9337016574585635,0.9633333333333333,0.3451158059960914,0.005070747565281604,0.0047284493555663255,0.005493337947646146,0.9762845849802372,tensor(3.5804)
0.9553072625698324,0.968095238095238,0.3811083460496947,0.007084397796529179,0.004551665562186151,0.010596453161484843,0.953125,tensor(3.5889)
0.9661016949152542,0.9621428571428571,0.362699550461958,0.008400214764576355,0.010449350460736495,0.006463668941831606,0.8518518518518519,tensor(3.7020)
0.898936170212766,0.9704761904761905,0.35515294910235795,0.008351105847900895,0.01108674530871923,0.00530809116676589,0.9920318725099602,tensor(3.8932)
0.9705882352941176,0.968095238095238,0.3674746654333622,0.009464363473443586,0.01312695773516821,0.006572841687871513,0.9083969465648855,tensor(4.3303)
0.9144385026737968,0.9680952380952381,0.3450789789103635,0.005503435934762007,0.0035591936125339437,0.0072316513322980645,0.9841269841269841,tensor(3.9008)
0.9771428571428571,0.9683333333333333,0.3628920841467252,0.005656445053719528,0.005103092058506763,0.006144347694659816,0.8796992481203008,tensor(4.2588)
0.9441340782122905,0.9664285714285714,0.37290262581641037,0.009735426854265079,0.009578932535723067,0.00993806693340281,0.9083969465648855,tensor(4.0998)
0.9184782608695652,0.9661904761904762,0.3516642065097394,0.004897237245821866,0.004087353685934206,0.005820127814065942,0.9762845849802372,tensor(4.3459)
0.9344262295081968,0.9609523809523809,0.35206029909602254,0.004483900909439325,0.005151242934330979,0.003714494810152476,0.9762845849802372,tensor(4.1861)
0.9826589595375722,0.9673809523809525,0.34324369596039855,0.00726629582671331,0.004893321890141124,0.010224808786595511,0.937984496124031,tensor(4.9583)
0.9184782608695652,0.9669047619047618,0.33927137525993173,0.004743501590986375,0.0019139117468682401,0.00796791792498146,0.9841269841269841,tensor(5.2063)
0.9715909090909091,0.967857142857143,0.3515076748227992,0.003893113769293745,0.0032918636457202467,0.004522329014893917,0.9920318725099602,tensor(4.5285)
0.9482758620689655,0.9604761904761905,0.3342380400097292,0.007779109147774693,0.013711491071637131,0.0022422193521697484,0.9455252918287937,tensor(4.4876)
0.9555555555555556,0.9664285714285714,0.33793251966703064,0.005000843144433883,0.006779436746805134,0.003640742154385277,0.9607843137254902,tensor(4.3548)
0.9497206703910615,0.9692857142857143,0.3262207458085628,0.00607616929744503,0.007501175306166112,0.004352087953560263,1.0080321285140563,tensor(4.1865)
0.9655172413793104,0.9697619047619046,0.3482712060954632,0.006105248865038045,0.004502507362192604,0.007822471903801018,0.9841269841269841,tensor(4.3181)
