failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse
0.0,0.0,0.3887337341844942,0.0,0.0,0.0,1.2321428571428572,tensor(0.),0.0,0.0,0.04258955642580986,2.0149857997894287,0.0
0.3575757575757576,0.9885714285714285,0.1324704871982109,0.5463398852108946,0.6741653120301553,0.5106676730752869,1.3148148148148149,tensor(2.1660),0.34108527131782945,0.4166666666666667,0.04396453872323036,4.508907794952393,0.9885714285714285
0.43529411764705883,0.9547794117647059,0.036081409001935655,0.7617307508282969,0.5871070759697657,0.7947016544729145,1.380952380952381,tensor(1.5482),0.45454545454545453,0.3333333333333333,0.02950769104063511,5.297818660736084,0.8497663551401868
0.39156626506024095,0.9173256671089488,0.02388500038338738,0.4347487160145821,0.5140850491060349,0.42325862639444073,1.5510204081632653,tensor(2.0997),0.36551724137931035,0.5714285714285714,0.028848452493548393,6.6064605712890625,0.7657866673384218
0.4431818181818182,0.9095243210254446,0.03484865839282581,0.5968175572087305,1.145663212197705,0.44568614496538983,1.5510204081632653,tensor(1.9012),0.47101449275362317,0.34210526315789475,0.030464226379990578,4.539355278015137,0.720852959529862
0.4125,0.9036698386266552,0.03294733841358537,0.5457470556628184,1.029324691388293,0.4645624890811694,1.5252525252525253,tensor(1.5484),0.4233576642335766,0.34782608695652173,0.0268792062997818,4.7725982666015625,0.683398578846075
0.4970414201183432,0.897771824091474,0.04827239984883907,0.517721575823982,1.1977628163777172,0.3826779252175667,1.631578947368421,tensor(1.3510),0.48936170212765956,0.5357142857142857,0.029431238770484924,4.959376335144043,0.660251788575601
0.4418604651162791,0.8925944089522412,0.03668278004870121,0.7266185026868356,1.3028662738427697,0.6097570665782894,1.6041666666666667,tensor(1.4619),0.46153846153846156,0.3448275862068966,0.03335484489798546,3.7979512214660645,0.6123972890523953
0.4619883040935672,0.8923416957646865,0.03272108178198995,0.5391082188143849,1.0246884986926625,0.4357932656487939,1.631578947368421,tensor(1.2414),0.4326241134751773,0.6,0.02906830981373787,3.329850196838379,0.5959150451346102
0.4876543209876543,0.8932167293317663,0.03459626334673948,0.6841522644344354,1.472203053263675,0.4748262736516687,1.4509803921568627,tensor(1.3073),0.4765625,0.5294117647058824,0.029771970584988594,2.698066473007202,0.5946027133294672
0.4942528735632184,0.9058618010955743,0.027706828161712927,0.4863753773703393,0.8266013248091358,0.42112656553276184,1.617801047120419,tensor(1.3587),0.4863013698630137,0.5357142857142857,0.02732640691101551,4.547792434692383,0.606554126283103
0.4470588235294118,0.9043825665183358,0.0290261470499989,0.6971470345319914,1.630306504321073,0.528659908042296,1.7173913043478262,tensor(1.5507),0.4583333333333333,0.38461538461538464,0.02367914468050003,4.485710620880127,0.6051024336644746
0.4457831325301205,0.9061136545633868,0.0271938751545876,0.9247216727547339,2.8734746187055897,0.611285884245156,1.6595744680851063,tensor(1.3722),0.43356643356643354,0.5217391304347826,0.02568124420940876,4.583888530731201,0.6090000992434936
